id,name,gender,price,description,registration_date
2,남성용 밴딩 린넨 와이드 팬츠,m,33000,"매 시즌 사랑받았던, 여름에 꼭 필요한 핫한 밴딩 와이드 팬츠입니다. 베이직한 디자인과 컬러로 누구나 부담없이 이쁘게 입을 수 있습니다",2019-08-11
3,남성용 순면 러닝,m,9000,속옷 전문기업의 봉제 기술로 세탁 후에도 깔끔하게 유지됩니다. 봉제선이 최소화되어 편안한 착용감이 있습니다.,2018-04-15
4,무지 7부 반팔 티셔츠,u,13000,유니크한 디테일과 편안한 핏을 위해 최적의 소재를 사용해 만든 젊은 컨셉의 티셔츠입니다. 건강한 식물성 소재로 피부에 닿는 감촉이 부드럽습니다. ,2019-05-14
5,브루너 반팔 티셔츠,m,20000,뉴욕 스트릿의 감성이 살아나는 패턴이 있는 티셔츠입니다. 나만의 개성을 티셔츠로 드러내보세요.,2019-05-14
7,남성용 슬렌더 데님,m,50000,"텐션 좋은 원단으로 만든 한정판 청바지, 베이스 워싱으로 은은한 슬림핏을 선사하는 바지입니다. 팬츠 밑단의 엣지 스타일로 트렌디한 디자인을 보실 수 있습니다.",2019-06-21
8,프린팅 오버핏 맨투맨 ,u,35000,레터링 프린팅으로 포인트를 준 오버핏 캐주얼 맨투맨입니다. 심플한 디자인이 다른 아이템과 잘 매치될 수 있게 해줍니다. 유행을 타지 않아 매년 입을 수 있는 아이템~!,2019-07-12
9,냉감 반팔 티셔츠,u,15000,"아무리 땀흘려도 냄새나지 않는 티셔츠, 운동할 때 뭐입을지 고민하신 분들 많죠? 이 티셔츠 몇 장 사셔서 그런 고민 모두 날려버리세요. ",2019-08-17
10,베어 프린팅 맨투맨 티셔츠,m,52000,"가을에 입으면 좋은 큐티한 상품, 평상복으로도 입을 수 있고, 데이트할 때도 입을 수 있어요! 귀여운 베어의 감성을 입어보세요. ",2019-07-12
11,남성용 캐주얼 긴팔 남방,m,37000,면 혼방 소재로 부드럽가 편안한 촉감을 느낄 수 있습니다. 트렌디함과 단정함을 모두 느낄 수 있습니다. ,2019-05-14
12,남성용 오버핏 체크셔츠,m,45000,"늦가을부터 겨울까지 챙기면 좋을 베이직한 아이템, 톤 다운된 컬러로 세련된 캐주얼룩을 완성해봅시다.",2019-06-12
13,남성용 스트라이프 셔츠,m,23000,가끔 특별한 느낌을 주고 싶은 날에는? 스트라이프 디자인으로 주목받는 사람이 되어보세요. 세련미를 풍기는 사람이 되어봅시다. ,2019-07-12
15,자수 반팔 티셔츠,f,52000,"여기저기 뛰어다니는 귀여운 고양이 감성, 오늘만큼은 귀여워지고 싶다면? 장인의 손길로 한땀한땀 새겨진 무늬가 있는 자수 반팔 티셔츠를 추천합니다. ",2019-07-12
17,밴딩 롤업 배기 팬츠,f,43000,"허리 사이즈에 상관없이 편하게 입을 수 있는 밴딩 스타일, 힙하면서도 꾸안꾸 스타일을 줄 수 있는 아이템입니다, 원하는 길이만큼 롤업하고 나가면 당신은 멋쟁이~!",2019-07-12
19,플라워 벨티드 더블 자켓,f,71000,누구보다도 화려해지고 싶은 날이 한번씩 있죠? 꽃이 온몸을 덮는 패턴으로 나의 존재감을 보여주세요. 라인감을 살려주는 디자인으로 당당함을 UP!,2019-07-03
20,스타일리쉬 루즈 청자켓,f,39000,과감한 프린팅과 찢김 무늬로 나만의 개성을 과시할 수 있습니다. 부담없는 연한 청색으로 은은함도 더했습니다. 아무리 빨아도 색 변화가 없을 거에요~!,2019-07-12
21,여성용 도트 쉬폰 자켓,f,22000,"전통적인 게 가장 아름다운 법, 규칙적인 프린팅과 부드러운 촉감을 가진 쉬폰 자켓을 입어보세요. 발랄하고 스타일이 느껴지는 분위기를 연출할 수 있습니다. ",2019-05-14
24,맵시 롱치마,f,40000,허리 밴딩 타입으로 어떤 코디에도 자연스럽게 어울립니다. 몸에 감기는 시원한 재질로 여름에도 편하게 입을 수 있어요.,2019-05-14
25,민들레 롱 스커트,f,25000,화사한 민들레 패턴으로 꾸며진 롱 스커트~! 야외에서 사진 찍을 때 예쁜 샷을 선물해줄 스커트입니다. 약간의 늘어남이 있는 소재라 착용감도 좋습니다. ,2019-05-14
27,여성 린넨 자켓,f,29000,"유행 타지 않는 아이템, 린넨 자켓! 여유감 있는 폼과 기장으로 안정감 있는 핏을 연출할 수 있습니다. 간단한 롤업으로 세련미를 줄 수도 있구요. ",2019-07-12
29,여성용 노카라 자켓,f,67000,평범한 자켓은 가라! 불필요한 카라를 없애고 오로지 실용성과 담백함만을 담은 자켓입니다. 업무 중에 입기에도 적합한 착용감을 제공합니다. ,2019-06-12
30,여성용 투포켓 자켓,f,42000,"청청 패션의 끝을 장식해주는 아이템, 제대로된 청색 아이템을 찾는 다면 이 아이템을 추천합니다. ",2019-07-12
31,신상 남자 슬랙스,m,35000,"완벽한 핏으로 하체를 더 길게 보여주는 상품, 사무실이든 야외에서든 편하게 입을 수 있는 재질입니다. ",2020-01-12
32,New 반팔티 남녀공용,u,35000,"루즈한 사이즈로 어디서나 편하게 입을 수 있는 아이템, 남녀노소 부담없는 기본 아이템으로 활용할 수 있습니다. ",2020-02-21
33,새로운 루즈핏 니트 베스트,m,55000,"셔츠 위에 루즈핏으로 입을 수 있는 베스트입니다. 자켓을 입기에는 애매하고 그렇다고 셔츠만 입기에는 부족할 때, 이 니트 베스트를 선택하세요. ",2020-03-12
34,최고 신상 피크닉 맨투맨,m,25000,소풍갈 때 입기에 좋은 맨투맨입니다. 신인 디자이너들의 개성이 옷의 모든 부분에 반영된 맨투맨으로 당신의 개성을 뽐내보세요. ,2020-03-21
35,남녀 공용 오버핏 후드티,u,47000,큼직한 사이즈의 후드티입니다. 매끈한 느낌의 안감과 대조적인 털 느낌의 바깥 재질이 큰 매력으로 다가오는 후드티입니다.,2020-03-09
36,뉴스타일 포켓 블라우스,f,21000,"봄에 어울리는 은은한 컬러의 아이템, 묵직한 무게감으로 봄의 꽃샘추위를 이겨낼 수 있습니다. 아우터 대신으로 입어도 좋은 아이템입니다. ",2020-03-08
37,히든 버튼 남방,f,56000,거추장스러운 단추를 모두 안으로 옮긴 아이템입니다. 하지만 입을 때의 불편함을 없앨 수 있도록 디자인되었습니다. 산뜻한 이미지를 연출하고 싶을 때 착용하세요. ,2020-05-15
38,신상품 베이지 롱 가디건,u,58000,양털 소재의 가벼운 느낌의 가디건입니다. 보온성과 통기성을 최대한 유지하기 위한 여러 기술들이 적용된 의상으로 대부분의 평범한 날씨에 입을 수 있습니다.,2020-04-07
